ship_id,time,lon,lat,frequency,source_level
Ship A,2000-03-15T07:00:00Z,-75.6,26.216666666666665,2.6,235
Ship A,2000-03-15T09:00:00Z,-76.83333333333333,25.966666666666665,2.6,235
Ship A,2000-03-15T11:00:00Z,-77.25,25.516666666666666,2.6,235
Ship A,2000-03-15T12:30:00Z,-77.5,25.516666666666666,3.3,235
Ship A,2000-03-15T14:30:00Z,-77.83333333333333,26.083333333333332,3.3,235
Ship A,2000-03-15T16:30:00Z,-78.21666666666667,26.316666666666666,3.3,225
Ship B,2000-03-15T07:00:00Z,-77.79,26.033333333333335,2.6,235
Ship B,2000-03-15T09:00:00Z,-78.21166666666667,26.2,2.6,235
Ship B,2000-03-15T11:00:00Z,-78.64666666666666,26.233333333333334,2.6,240
Ship B,2000-03-15T12:30:00Z,-78.57,26.2,2.6,240
Ship B,2000-03-15T14:30:00Z,-79.05166666666666,26.366666666666667,2.6,240
Ship B,2000-03-15T16:30:00Z,-79.37833333333333,26.3,2.6,235
Ship C,2000-03-15T07:00:00Z,-77.75,25.966666666666665,8.2,226
Ship C,2000-03-15T09:00:00Z,-78.06666666666666,26.166666666666668,7.5,226
Ship C,2000-03-15T11:00:00Z,-78.35,26.15,7.5,226
Ship C,2000-03-15T12:30:00Z,-78.31666666666666,26.166666666666668,7.5,226
Ship C,2000-03-15T14:30:00Z,-78.66666666666667,26.216666666666665,7.5,226
Ship D,2000-03-15T07:00:00Z,-76.90166666666667,25.793333333333333,6.8,226
Ship D,2000-03-15T09:00:00Z,-77.13833333333334,25.745,7.5,226
Ship D,2000-03-15T11:00:00Z,-77.485,25.883333333333333,7.5,226
Ship D,2000-03-15T12:30:00Z,-77.775,26.148333333333333,7.5,226
Ship D,2000-03-15T14:30:00Z,-78.24333333333334,26.286666666666665,7.5,226
Ship D,2000-03-15T16:30:00Z,-78.52333333333333,26.118333333333332,7.5,226
