animal_id,species,lon,lat
BMMS_00-01,S.frontalis,-77.4829,26.90511667
BMMS_00-02,Z.cavirostris,-77.40573333,25.9967
BMMS_00-03,Z.cavirostris,-77.4025,26.01798333
BMMS_00-04,M.densirostris,-77.40081667,26.02118333
BMMS_00-05,M.densirostris,-77.51938333,26.09846667
BMMS_00-06,Z.cavirostris,-78.28333333,26.61666667
BMMS_00-07,B.acutorostrata,-76.78333333,25.5
BMMS_00-08,Unid.ziphiid,-78.51666667,26.55
BMMS_00-09,Unid.ziphiid,-78.51666667,26.55
BMMS_00-10,Z.cavirostris,-77.76666667,26.46666667
BMMS_00-11,Z.cavirostris,-77.76666667,26.46666667
BMMS_00-12,B.acutorostrata,-76.81666667,25.51666667
BMMS_00-13,Z.cavirostris,-78.36666667,26.6
BMMS_00-14,Z.cavirostris,-78.36666667,26.6
BMMS_00-15,Z.cavirostris,-77.76571667,26.4356
BMMS_00-16,M.densirostris,-77.27588333,25.94078333
BMMS_00-17,Z.cavirostris,-78.48333333,26.58333333
BMMS_00-18,M.europaeus,-77.64421667,26.97515
